
> mission-control@0.1.0 dev
> next dev -p 3001

   ▲ Next.js 15.1.6
   - Local:        http://localhost:3001
   - Network:      http://192.168.1.30:3001

 ✓ Starting...
 ✓ Ready in 1029ms
 ✓ Compiled /_not-found in 486ms (592 modules)
 GET /api/tasks 404 in 599ms
 ✓ Compiled in 144ms (295 modules)
 ✓ Compiled /tools/task-center in 126ms (611 modules)
 GET /tools/task-center 200 in 185ms
 ✓ Compiled in 90ms (300 modules)
 ✓ Compiled in 117ms (300 modules)
 ✓ Compiled in 91ms (300 modules)
 ✓ Compiled in 88ms (300 modules)
 ✓ Compiled in 96ms (300 modules)
 ✓ Compiled in 85ms (300 modules)
 ✓ Compiled in 81ms (297 modules)
 ✓ Compiled in 85ms (297 modules)
 ✓ Compiled in 87ms (297 modules)
 ✓ Compiled in 86ms (297 modules)
 ✓ Compiled in 79ms (297 modules)
 ✓ Compiled in 70ms (297 modules)
 ✓ Compiled in 73ms (297 modules)
 ✓ Compiled in 91ms (297 modules)
 ✓ Compiled in 86ms (297 modules)
 ✓ Compiled in 89ms (297 modules)
 ✓ Compiled in 82ms (297 modules)
 ✓ Compiled in 92ms (297 modules)
 ✓ Compiled in 68ms (297 modules)
 ✓ Compiled in 85ms (297 modules)
 ✓ Compiled in 76ms (297 modules)
 ✓ Compiled in 91ms (297 modules)
 ✓ Compiled in 71ms (297 modules)
 ✓ Compiled in 160ms (297 modules)
 ✓ Compiled in 164ms (297 modules)
 ✓ Compiled in 64ms (297 modules)
 ✓ Compiled in 88ms (297 modules)
 ✓ Compiled in 79ms (297 modules)
 ✓ Compiled in 70ms (297 modules)
 ✓ Compiled in 69ms (297 modules)
 ✓ Compiled in 88ms (297 modules)
 ✓ Compiled in 77ms (297 modules)
 ✓ Compiled in 63ms (297 modules)
 ✓ Compiled in 71ms (297 modules)
 ✓ Compiled in 65ms (297 modules)
 ✓ Compiled in 72ms (297 modules)
 ✓ Compiled in 66ms (297 modules)
 ✓ Compiled in 79ms (297 modules)
 ✓ Compiled in 64ms (297 modules)
 ✓ Compiled in 77ms (297 modules)
 ✓ Compiled in 51ms (297 modules)
 ✓ Compiled in 69ms (297 modules)
 ✓ Compiled in 52ms (297 modules)
 ✓ Compiled in 79ms (297 modules)
 ✓ Compiled in 54ms (297 modules)
 ✓ Compiled in 76ms (297 modules)
 ✓ Compiled in 65ms (297 modules)
 ✓ Compiled in 71ms (297 modules)
 ✓ Compiled in 69ms (297 modules)
 ✓ Compiled in 73ms (297 modules)
 ✓ Compiled in 68ms (297 modules)
 ✓ Compiled in 75ms (297 modules)
 ✓ Compiled in 66ms (297 modules)
 ✓ Compiled in 79ms (297 modules)
 ✓ Compiled in 66ms (297 modules)
 ✓ Compiled in 86ms (297 modules)
 ✓ Compiled in 64ms (297 modules)
 ✓ Compiled in 69ms (297 modules)
 ✓ Compiled in 67ms (297 modules)
 ✓ Compiled in 72ms (297 modules)
 ✓ Compiled in 64ms (297 modules)
 ✓ Compiled in 73ms (297 modules)
 ✓ Compiled in 69ms (297 modules)
 ✓ Compiled in 79ms (297 modules)
 ✓ Compiled in 67ms (297 modules)
 ✓ Compiled in 71ms (297 modules)
 ✓ Compiled in 67ms (297 modules)
 ✓ Compiled in 77ms (297 modules)
 ✓ Compiled in 63ms (297 modules)
 ✓ Compiled in 72ms (297 modules)
 ✓ Compiled in 68ms (297 modules)
 ✓ Compiled in 77ms (297 modules)
 ✓ Compiled in 69ms (297 modules)
 ✓ Compiled in 89ms (297 modules)
 ✓ Compiled in 82ms (297 modules)
 ✓ Compiled in 80ms (297 modules)
 ✓ Compiled in 70ms (297 modules)
 ✓ Compiled in 78ms (297 modules)
 ✓ Compiled in 73ms (297 modules)
 ✓ Compiled in 88ms (297 modules)
 ✓ Compiled in 75ms (297 modules)
 ✓ Compiled in 83ms (297 modules)
 ✓ Compiled in 73ms (297 modules)
 ✓ Compiled in 75ms (297 modules)
 ✓ Compiled in 77ms (297 modules)
 ✓ Compiled in 77ms (297 modules)
 ✓ Compiled in 72ms (297 modules)
 ✓ Compiled in 87ms (297 modules)
 ✓ Compiled in 80ms (297 modules)
 ✓ Compiled in 90ms (297 modules)
 ✓ Compiled in 65ms (297 modules)
 ✓ Compiled in 92ms (297 modules)
 ✓ Compiled in 72ms (297 modules)
 ✓ Compiled in 88ms (297 modules)
 ✓ Compiled in 87ms (297 modules)
 ✓ Compiled in 87ms (297 modules)
 ✓ Compiled in 69ms (297 modules)
 ✓ Compiled in 76ms (297 modules)
 ✓ Compiled in 82ms (297 modules)
 ✓ Compiled in 87ms (297 modules)
 ✓ Compiled in 88ms (297 modules)
 ✓ Compiled in 86ms (297 modules)
 ✓ Compiled in 80ms (297 modules)
 ✓ Compiled in 89ms (297 modules)
 ✓ Compiled in 72ms (297 modules)
 ✓ Compiled in 95ms (297 modules)
 ✓ Compiled in 77ms (297 modules)
 ✓ Compiled in 67ms (297 modules)
 ✓ Compiled in 76ms (297 modules)
 ✓ Compiled in 75ms (297 modules)
 ✓ Compiled in 79ms (297 modules)
 ✓ Compiled in 67ms (297 modules)
 ✓ Compiled in 79ms (297 modules)
 ✓ Compiled in 69ms (297 modules)
 ✓ Compiled in 89ms (297 modules)
 ✓ Compiled in 70ms (297 modules)
